,A,B
0,0.5022222222222222,
1,0.5958333333333333,
2,0.7191666666666666,
3,0.7733333333333333,
4,0.8477777777777777,0.68
5,0.85,0.7066666666666667
6,0.8538888888888889,0.7066666666666667
7,0.8566666666666667,0.7138888888888889
8,0.8611111111111112,0.7111111111111111
9,0.8694444444444445,0.7111111111111111
10,0.8738888888888889,0.7394444444444445
11,0.8894444444444445,0.7083333333333334
12,0.89,0.7055555555555556
13,0.8961111111111111,0.7
14,0.8888888888888888,0.7133333333333334
15,0.8988888888888888,0.6977777777777778
16,0.8977777777777778,0.7166666666666667
17,0.8866666666666667,0.7105555555555556
0,0.5211111111111111,
1,0.6916666666666667,
2,0.7208333333333333,
3,0.755,
4,0.7916666666666666,0.5983333333333334
5,0.8038888888888889,0.6316666666666667
6,0.8016666666666666,0.5777777777777777
7,0.7961111111111111,0.6133333333333333
8,0.815,0.6127777777777778
9,0.8088888888888889,0.61
10,0.8161111111111111,0.6094444444444445
11,0.7877777777777778,0.6216666666666667
12,0.8122222222222222,0.6088888888888889
13,0.8183333333333334,0.6055555555555555
14,0.8138888888888889,0.6127777777777778
15,0.8061111111111111,0.5944444444444444
16,0.81,0.63
17,0.8072222222222222,0.6016666666666667
0,0.5022222222222222,
1,0.5958333333333333,
2,0.7191666666666666,
3,0.7733333333333333,
4,0.8477777777777777,0.68
5,0.85,0.7066666666666667
6,0.8538888888888889,0.7066666666666667
7,0.8566666666666667,0.7138888888888889
8,0.8611111111111112,0.7111111111111111
9,0.8694444444444445,0.7111111111111111
10,0.8738888888888889,0.7394444444444445
11,0.8894444444444445,0.7083333333333334
12,0.89,0.7055555555555556
13,0.8961111111111111,0.7
14,0.8888888888888888,0.7133333333333334
15,0.8988888888888888,0.6977777777777778
16,0.8977777777777778,0.7166666666666667
17,0.8866666666666667,0.7105555555555556
0,0.5211111111111111,
1,0.6916666666666667,
2,0.7208333333333333,
3,0.755,
4,0.7916666666666666,0.5983333333333334
5,0.8038888888888889,0.6316666666666667
6,0.8016666666666666,0.5777777777777777
7,0.7961111111111111,0.6133333333333333
8,0.815,0.6127777777777778
9,0.8088888888888889,0.61
10,0.8161111111111111,0.6094444444444445
11,0.7877777777777778,0.6216666666666667
12,0.8122222222222222,0.6088888888888889
13,0.8183333333333334,0.6055555555555555
14,0.8138888888888889,0.6127777777777778
15,0.8061111111111111,0.5944444444444444
16,0.81,0.63
17,0.8072222222222222,0.6016666666666667
0,0.5022222222222222,
1,0.5958333333333333,
2,0.7191666666666666,
3,0.7733333333333333,
4,0.8477777777777777,0.68
5,0.85,0.7066666666666667
