,A,B
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
6,0.8633333333333333,0.6988888888888889
7,0.8638888888888889,0.7127777777777777
8,0.8688888888888889,0.7044444444444444
9,0.8727777777777778,0.6961111111111111
10,0.8738888888888889,0.7316666666666667
11,0.8905555555555555,0.6966666666666667
12,0.8916666666666667,0.6933333333333334
13,0.8938888888888888,0.6838888888888889
14,0.8844444444444445,0.6983333333333334
15,0.8972222222222223,0.6872222222222222
16,0.8905555555555555,0.7066666666666667
17,0.8816666666666667,0.6977777777777778
0,0.5205555555555555,
1,0.6825,
2,0.7033333333333334,
3,0.7341666666666666,
4,0.7883333333333333,0.5922222222222222
5,0.7955555555555556,0.6288888888888889
6,0.8005555555555556,0.5705555555555556
7,0.7911111111111111,0.6066666666666667
8,0.8088888888888889,0.6033333333333334
9,0.8044444444444444,0.6005555555555555
10,0.8083333333333333,0.6005555555555555
11,0.7772222222222223,0.6122222222222222
12,0.8033333333333333,0.5994444444444444
13,0.8066666666666666,0.5861111111111111
14,0.8088888888888889,0.6016666666666667
15,0.8005555555555556,0.5883333333333334
16,0.7938888888888889,0.6233333333333333
17,0.7977777777777778,0.5966666666666667
0,0.5022222222222222,
1,0.5925,
2,0.7066666666666667,
3,0.7541666666666667,
4,0.8533333333333334,0.6672222222222223
5,0.8544444444444445,0.7027777777777777
